Designator,Mid X,Mid Y,Layer,Rotation
BootSwitch1,3.5,26,top,180
C1,12.3,17.5,top,180
C2,23.45,18.75,top,0
C3,17.5175,8.3325,top,0
C4,23.45,17.25,top,0
C5,22.95,12.25,top,0
C6,5,29.3,top,-90
C7,22.95,13.75,top,0
C8,2.5,29.55,top,-90
C15,23,15.5,top,180
C16,17.95,18.75,top,0
C17,13.4675,8.8325,top,180
C18,17.2,22.25,top,0
C19,12.5,20.25,top,180
D2,4.1475,8.0825,top,180
D3,1.93,6,top,0
D4,1.5475,7.8325,top,180
J1,13,6.5,top,180
J2,2.999293,18.9,top,-90
L1,21,22.25,top,90
MatterSwitch1,23,28.5,top,-90
Q1,3.5675,11.4325,top,-90
R1,4.255,6.55,top,180
R2,0.9675,9.8325,top,-90
R3,5,31.93,top,-90
R4,9.57,20.75,top,0
R5,14.5,21.75,top,180
R6,12.5,19,top,0
R7,9.57,17,top,0
R8,16.25,18.57,top,-90
R9,3,31.5,top,0
ResetSwitch1,3.5,35.5,top,0
U1,17.03,20.5,top,0
U2,13.5,34.3,top,0
